{x=21, y=132, seq=0, hour=6, day=0, temp=19.6, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=2.2, wd=0, wdKor=∫œ, wdEn=N, reh=93, r06=0.0, s06=0.0}
{x=21, y=132, seq=1, hour=9, day=0, temp=21.9, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=2.2, wd=0, wdKor=∫œ, wdEn=N, reh=85, r06=0.0, s06=0.0}
{x=21, y=132, seq=2, hour=12, day=0, temp=25.8, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=1.1, wd=1, wdKor=∫œµø, wdEn=NE, reh=65, r06=0.0, s06=0.0}
{x=21, y=132, seq=3, hour=15, day=0, temp=27.7, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=28, r12=0.0, s12=0.0, ws=1.1, wd=7, wdKor=∫œº≠, wdEn=NW, reh=56, r06=0.0, s06=0.0}
{x=21, y=132, seq=4, hour=18, day=0, temp=25.6, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=28, r12=0.0, s12=0.0, ws=1.0, wd=0, wdKor=∫œ, wdEn=N, reh=67, r06=0.0, s06=0.0}
{x=21, y=132, seq=5, hour=21, day=0, temp=23.3, tmx=27.9, tmn=19.4, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=28, r12=0.0, s12=0.0, ws=2.5, wd=3, wdKor=≥≤µø, wdEn=SE, reh=86, r06=0.0, s06=0.0}
{x=21, y=132, seq=6, hour=24, day=0, temp=20.0, tmx=27.9, tmn=19.4, sky=3, pty=0, wfKor=±∏∏ß ∏π¿Ω, wfEn=Mostly Cloudy, pop=20, r12=0.0, s12=0.0, ws=0.1, wd=5, wdKor=≥≤º≠, wdEn=SW, reh=89, r06=0.0, s06=0.0}
{x=21, y=132, seq=7, hour=3, day=1, temp=19.1, tmx=29.4, tmn=18.8, sky=3, pty=0, wfKor=±∏∏ß ∏π¿Ω, wfEn=Mostly Cloudy, pop=22, r12=0.0, s12=0.0, ws=1.3, wd=1, wdKor=∫œµø, wdEn=NE, reh=92, r06=0.0, s06=0.0}
{x=21, y=135, seq=0, hour=6, day=0, temp=20.2, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=2.0, wd=0, wdKor=∫œ, wdEn=N, reh=91, r06=0.0, s06=0.0}
{x=21, y=135, seq=1, hour=9, day=0, temp=22.7, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=2.0, wd=0, wdKor=∫œ, wdEn=N, reh=85, r06=0.0, s06=0.0}
{x=21, y=135, seq=2, hour=12, day=0, temp=25.7, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=2.2, wd=0, wdKor=∫œ, wdEn=N, reh=75, r06=0.0, s06=0.0}
{x=21, y=135, seq=3, hour=15, day=0, temp=27.1, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=23, r12=0.0, s12=0.0, ws=2.4000000000000004, wd=7, wdKor=∫œº≠, wdEn=NW, reh=68, r06=0.0, s06=0.0}
{x=21, y=135, seq=4, hour=18, day=0, temp=25.4, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=23, r12=0.0, s12=0.0, ws=2.4000000000000004, wd=0, wdKor=∫œ, wdEn=N, reh=79, r06=0.0, s06=0.0}
{x=21, y=135, seq=5, hour=21, day=0, temp=22.8, tmx=27.8, tmn=19.5, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=23, r12=0.0, s12=0.0, ws=2.3000000000000003, wd=3, wdKor=≥≤µø, wdEn=SE, reh=89, r06=0.0, s06=0.0}
{x=21, y=135, seq=6, hour=24, day=0, temp=20.8, tmx=27.8, tmn=19.5, sky=3, pty=0, wfKor=±∏∏ß ∏π¿Ω, wfEn=Mostly Cloudy, pop=20, r12=0.0, s12=0.0, ws=1.4000000000000001, wd=3, wdKor=≥≤µø, wdEn=SE, reh=90, r06=0.0, s06=0.0}
{x=21, y=135, seq=7, hour=3, day=1, temp=19.5, tmx=27.3, tmn=19.3, sky=3, pty=0, wfKor=±∏∏ß ∏π¿Ω, wfEn=Mostly Cloudy, pop=27, r12=0.0, s12=0.0, ws=1.7000000000000002, wd=1, wdKor=∫œµø, wdEn=NE, reh=91, r06=0.0, s06=0.0}
{x=28, y=8, seq=0, hour=6, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=3, pty=0, wfKor=±∏∏ß ∏π¿Ω, wfEn=Mostly Cloudy, pop=30, r12=0.0, s12=0.0, ws=7.0, wd=2, wdKor=µø, wdEn=E, reh=85, r06=0.0, s06=0.0}
{x=28, y=8, seq=1, hour=9, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=8.0, wd=2, wdKor=µø, wdEn=E, reh=85, r06=1.0, s06=0.0}
{x=28, y=8, seq=2, hour=12, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=8.0, wd=1, wdKor=∫œµø, wdEn=NE, reh=85, r06=1.0, s06=0.0}
{x=28, y=8, seq=3, hour=15, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=9.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=4.0, s06=0.0}
{x=28, y=8, seq=4, hour=18, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=9.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=4.0, s06=0.0}
{x=28, y=8, seq=5, hour=21, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=9.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=8.0, s06=0.0}
{x=28, y=8, seq=6, hour=24, day=0, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=7.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=8.0, s06=0.0}
{x=28, y=8, seq=7, hour=3, day=1, temp=25.0, tmx=26.0, tmn=24.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=80, r12=0.0, s12=0.0, ws=6.0, wd=3, wdKor=≥≤µø, wdEn=SE, reh=90, r06=15.0, s06=0.0}
{x=33, y=64, seq=0, hour=6, day=0, temp=22.0, tmx=23.0, tmn=21.0, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=30, r12=0.0, s12=0.0, ws=3.0, wd=1, wdKor=∫œµø, wdEn=NE, reh=95, r06=0.0, s06=0.0}
{x=33, y=64, seq=1, hour=9, day=0, temp=23.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=60, r12=0.0, s12=0.0, ws=3.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=4.0, s06=0.0}
{x=33, y=64, seq=2, hour=12, day=0, temp=23.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=70, r12=0.0, s12=0.0, ws=3.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=4.0, s06=0.0}
{x=33, y=64, seq=3, hour=15, day=0, temp=23.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=70, r12=0.0, s12=0.0, ws=3.0, wd=2, wdKor=µø, wdEn=E, reh=90, r06=4.0, s06=0.0}
{x=33, y=64, seq=4, hour=18, day=0, temp=22.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=70, r12=0.0, s12=0.0, ws=3.0, wd=1, wdKor=∫œµø, wdEn=NE, reh=90, r06=4.0, s06=0.0}
{x=33, y=64, seq=5, hour=21, day=0, temp=21.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=80, r12=0.0, s12=0.0, ws=3.0, wd=1, wdKor=∫œµø, wdEn=NE, reh=95, r06=8.0, s06=0.0}
{x=33, y=64, seq=6, hour=24, day=0, temp=21.0, tmx=23.0, tmn=21.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=80, r12=0.0, s12=0.0, ws=3.1, wd=1, wdKor=∫œµø, wdEn=NE, reh=95, r06=8.0, s06=0.0}
{x=33, y=64, seq=7, hour=3, day=1, temp=21.0, tmx=23.0, tmn=20.0, sky=4, pty=1, wfKor=∫Ò, wfEn=Rain, pop=90, r12=0.0, s12=0.0, ws=3.0, wd=2, wdKor=µø, wdEn=E, reh=95, r06=15.0, s06=0.0}
{x=38, y=129, seq=0, hour=6, day=0, temp=23.1, tmx=27.1, tmn=23.1, sky=4, pty=0, wfKor=»Â∏≤, wfEn=Cloudy, pop=2, r12=0.0, s12=0.0, ws=2.4000000000000004, wd=0, wdKor=∫œ, wdEn=N, reh=75, r06=0.0, s06=0.0}
